@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16}

@data
245,'2019/02/24 18:19:51:090',2,331.399994,128.399994,0,0,-9,0,0,0,2
246,'2019/02/24 18:19:51:141',2,328.600006,131.399994,0.5,0.8,-13,0,0,0,2
247,'2019/02/24 18:19:51:193',2,332.100006,132.600006,1.5,0.4,-6,0,0,0,2
248,'2019/02/24 18:19:51:244',2,282.700012,132.199997,0,0,-21,0,0,0,2
249,'2019/02/24 18:19:51:294',2,309.600006,132,0,0.2,1,0,0,0,2
250,'2019/02/24 18:19:51:345',2,293.5,130.600006,0.5,0.6,-6,0,0,0,2
251,'2019/02/24 18:19:51:397',2,291.899994,129.100006,0.5,0,-23,0,0,0,2
252,'2019/02/24 18:19:51:448',2,329.399994,130,0,0,15,0,0,0,2
253,'2019/02/24 18:19:51:500',2,363.899994,130.399994,0,0,18,0,0,0,2
254,'2019/02/24 18:19:51:550',2,339.799988,130.100006,1,0,26,0,0,0,2
255,'2019/02/24 18:19:51:601',2,372.399994,131,0.1,0,-6,0,0,0,2
256,'2019/02/24 18:19:51:652',2,343,130,1,0.4,-21,0,0,0,2
257,'2019/02/24 18:19:51:702',2,313.700012,132.399994,0.1,0,-8,0,0,0,2
258,'2019/02/24 18:19:51:753',2,314.299988,133.399994,0.5,0.8,27,0,0,0,2
259,'2019/02/24 18:19:51:804',2,342.700012,130,0,0.9,-28,0,0,0,2
260,'2019/02/24 18:19:51:855',2,360.200012,130,0,0,-19,0,0,0,2
261,'2019/02/24 18:19:51:906',2,371,130,0.5,0.6,31,0,0,0,2
262,'2019/02/24 18:19:51:957',2,372.399994,131.899994,0.2,0,-12,0,0,0,2
263,'2019/02/24 18:19:52:009',2,326.899994,133.600006,0.5,0.4,-8,0,0,0,2
264,'2019/02/24 18:19:52:060',2,303.399994,132.100006,0,0.5,-18,0,0,0,2
265,'2019/02/24 18:19:52:111',2,261.600006,130.800003,0.5,0,-12,0,0,0,2
266,'2019/02/24 18:19:52:163',2,276.100006,135.399994,0.5,0.6,22,0,0,0,2
267,'2019/02/24 18:19:52:214',2,324.899994,131.800003,0,0.5,23,0,0,0,2
268,'2019/02/24 18:19:52:265',2,285.299988,132.199997,0.5,0.4,9,0,0,0,2
269,'2019/02/24 18:19:52:316',2,272.799988,132,0,0.5,6,0,0,0,2
270,'2019/02/24 18:19:52:368',2,283.899994,130.5,0,0.5,43,0,0,0,2
271,'2019/02/24 18:19:52:419',2,331.200012,130.100006,0,0.5,6,0,0,0,2
272,'2019/02/24 18:19:52:470',2,351.799988,128.5,0,0,-44,0,0,0,2
